id,product_name,manufacturer,price,description
79e16a6819d997b7053a808a79d341b8,Hornby R3086 RailRoad LNER 4-6-2 'Flying Scotsman' Class A3 00 Gauge Steam Locomotive,Hornby,£69.99,"Product Description The LNER Class A3 Pacific locomotive No. 4472 Flying Scotsman (originally No. 1472) was built in 1923 for the London and North Eastern Railway (LNER) at Doncaster Works to a design of H.N. Gresley. It was employed on long-distance express trains on the LNER and its successors, British Railways Eastern and North-Eastern Regions, notably on the 10am London to Edinburgh Flying Scotsman service after which it was named. In its career 4472 Flying Scotsman has covered more than 2,000,000 miles (3,200,000 km).Young or old, keen modeller or just a beginner, the Hornby RailRoad range answers the needs of many and is a perfect complement to the variety of locomotives, rolling stock, track, buildings, and accessories that can be found in the current Hornby catalogue. Devoid of easily damaged detail parts the suitably livered RailRoad locomotives are fitted with efficient drive mechanisms and have pickups on all drive wheels ensuring smooth running. All the RailRoad models are fitted with the standard Hornby hook and bar type couplings and will therefore easily couple to those locomotives and rolling stock in both the standard Hornby and Thomas & Friends ranges. With this in mind it is easy to see that those models that make up the Hornby RailRoad range are a simple and cost effective way of adding to a train set providing a suitable and most appropriate stepping stone into the varied and fascinating World of model railways.The introductory range offers not only a selection of individual locomotives, rolling stock and accessories but an assortment of train and wagon packs ideally suited for either train set rolling stock enhancements or for those who wish to experiment and try their hands at developing their modelling techniques!This DCC Ready locomotive is compatible with analogue train layouts, but can easily be converted for use on a DCC (digital) layout. This loco is 'DCC Ready', meaning they feature a special socket ready to receive a DCC Decoder. To convert this locomotive for use on a DCC layout one of the following digital decoder chips are required; R8245 Sapphire Decoder or R8249 V1 3 NMRA Loco Decoder. Once this decoder is fitted it is ready to use on a DCC layout. Box Contains 1 x locomotive"
21d778f71b5cc00344701881ad1c5fec,Ratio 271 Pratt Truss Signal Gantry Kit to span two tracks,Ratio,£3.40,Suitable for the following scale(s): N ScaleCan be extended. Signals not included
cc4c844b8b6c42c63a2c024229ef0b81,Ohigawa Railway SL [Kawane-ji] (4-Car Set) (Model Train),Kato,£50.81,Japanese toys
d5a8c72773ae4ebb712ffca0054a0461,HIGH SPEED TRAIN BUMP AND GO WITH MUSIC AND LIGHT HIGH QUALITY TOY,ARSUK,£4.99,
0f786326e462000a700e5460d7bfbb98,"TRIX T23469 H0 Luggage wagon of K.BAY.STS.instance, Luggage van",Trix,£36.51,Suitable for the following scale(s): HO Scale2009 New Item.
eaa7356d0552e564a405fc35ceee3bf1,Dapol Stanier 57ft Non Corridor Brake Coach - OO Gauge Plastic Kit,Dapol,£14.99,"Dapol OO Gauge Stanier 57ft non corridor brake coach in BR Carmine Red Livery, unlined. Plastic model kit. Manufacturers Description: William Stanier (1876-1965) was headhunted from the GWR to become Chief Mechanical Engineer of London, Midland and Scottish (LMS) Railways in 1932. With the support of the Chairman, Sir Josiah Stamp, Stanier is credited with modernising the LMS fleet of generally small steam locomotives with a larger, modern and more powerful array of designs. Soon after his appointment, Stanier also focused on refurbishing and standardising the Coach stock of the LMS and developed the Period III LMS coaches which later became known as Stanier Coaches. These designs were extremely popular and successful and many were still in service in the mid 1960's. There are many examples of Period III coaches operating on Heritage Railways throughout the UK today. The Dapol OO Model of the Stanier Coach is derived from refurbished Airfix/Mainline tooling originally purchased by Dapol in the 1980's. There are some compromises on detail accuracy due to the condition and usability of the 40+ year old tooling. However, we feel the model captures the essence of the Period III coach design well and offers an extremely affordable way of building up a fleet of pre or post nationalised fleet of LMS coaches. Dapol have strived to ensure livery and colour details have been captured and are comparable to the originals, including the roof level gold lines. The Kit comes complete with decorated body, all that is required is painting of the roof and other components and assembly. PLEASE NOTE THAT THIS ITEM IS NOT A TOY AND IS INTENDED FOR MODEL RAILWAY ENTHUSIASTS."
660b30ec7520119f22681588b9b1e25e,S-60 EF66 Electric Locomotive (Tomica PlaRail Model Train) (japan import),Takara Tomy,£11.58,EF66 is a direct current electric locomotive manufacturing was started from 1968. I have updated the image of the new coating machine which appeared from 2004 in this product. It is not attached Age rail: 3 years old or older use battery: 1 AA batteries 2 x (sold separately)
90f2e5f83df18b920c4aaaa2fd64bca4,Power Trains Freight Military (Pack of 4),Power Trains,,"Product Description 4 collectible cars that are perfect for any POWER TRAINS collection! Completely compatible, works on all track and with all engines! Box Contains 4 collectible carriages"
fe0b2ec319cde46d25c34eda5bdc6089,Hornby R1138 GWR Passenger Freight 00 Gauge Electric Train Set,Hornby,£79.95,"Product Description Hornby R1138 GWR Passenger Freight OO Gauge Electric Train Set Versatile freight transport The versatile GWR 0-4-0 locomotive makes easy work of hauling the two open wagons and the small coach around the oval of track. The circuit includes an additional siding, providing an area where selected wagons can be deposited and collected again as the train travels the circuit. GWR Passenger Freight The train includes a 0-4-0 locomotive, two wagons and a four-wheel coach. It is operated using the R8250 train controller provided. Why choose a Hornby Analogue train set? Hornby's analogue sets represent the classic origins of Hornby's world famous model trains. In addition to track, a controller and an exquisitely detailed locomotive with carriages every Hornby set includes a Midimat (a pictorial bird's eye view of a fully sceniced layout) providing the new set owner the opportunity of seeing how by the addition of Hornby Track and Building packs a superb layout can be created. Track The track circuit sits easily on the 1600 x 1180 mm MiniMat, and by adding Hornby track and accessory packs can soon be developed into a very effective model railway layout. Extend your set in easy steps by adding track packs and TrakMat accessory packs all the way to the full layout pictured on your MidiMat. Fill out your MidiMat with additional track and building packs The track circuit in this set can be extended to fully complete the included MidiMat which, with additional Hornby Track and Building packs, can be simply and quickly built up into a truly fascinating and effective model railway layout. Additional track packs include R8221 Track Pack A, R8222 Track Pack B, R8223 Track Pack C, R8224 Track Pack D, R8225 Track Pack E, and R8226 Track Pack F. Additional building packs include R8227 Building Pack A, R8228 Building Pack B, R8229 Building Pack C, R8230 Building Pack D, and R8231 Building Pack E. Box Contains 1 x 0-4-0 locomotive1 x LWB open wagon1 x 4-wheel coach1 x 21 steel-sided wagon1 x UK transformer1 x Train controller1 x Buffer stop1 x Track LHPoint2 x Straight tracks2 x Double straight tracks1 x 2nd radius curve track8 x 3rd radius double curve tracks1 x Power track1 x Vacpipe acc bag1 x 0-4-0 locomotive instruction leaflet1 x Controller instruction leaflet1 x Trakmat (1600 x 1180 mm)"
1540ee871c7e224e2dad5c1e0a1b6ec5,WD Austerity 2-8-0 90448 BR Black Late Crest (DCC,RAILWAY - BACHMANN,£135.00,Suitable for the following scale(s): OO ScaleEra 5. DCC Fitted.
